"Date","Price","Open","High","Low","Vol.","Change %"
"11/26/2025","901.00","890.00","907.00","890.00","0.01K","5.50%"
"11/25/2025","854.00","854.00","858.00","854.00","","-0.12%"
"11/24/2025","855.00","858.00","858.00","855.00","0.01K","-0.23%"
"11/21/2025","857.00","858.00","858.00","857.00","0.01K","0.12%"
"11/20/2025","856.00","857.00","857.00","857.00","0.00K","0.12%"
"11/19/2025","855.00","855.00","855.00","855.00","","-0.12%"
"11/18/2025","856.00","858.00","858.00","858.00","0.00K","0.12%"
"11/17/2025","855.00","855.00","862.00","855.00","0.16K","0.00%"
"11/14/2025","855.00","856.00","856.00","855.00","0.31K","0.00%"
"11/13/2025","855.00","855.00","857.00","855.00","0.03K","0.00%"
"11/12/2025","855.00","855.00","855.00","855.00","0.02K","0.35%"
"11/11/2025","852.00","849.00","852.00","849.00","0.01K","0.12%"
"11/10/2025","851.00","855.00","855.00","851.00","0.01K","0.47%"
"11/07/2025","847.00","845.00","847.00","845.00","0.05K","0.00%"
"11/06/2025","847.00","842.00","847.00","842.00","0.03K","0.24%"
"11/05/2025","845.00","844.00","845.00","844.00","0.07K","-0.35%"
"11/04/2025","848.00","856.00","856.00","848.00","0.05K","0.00%"
"11/03/2025","848.00","847.00","855.00","847.00","","-0.35%"
"10/31/2025","851.00","845.00","855.00","845.00","0.15K","0.12%"
"10/30/2025","850.00","854.00","854.00","846.00","0.17K","0.35%"
"10/29/2025","847.00","847.00","849.00","845.00","0.48K","4.05%"
"10/28/2025","814.00","814.00","814.00","814.00","0.00K","0.00%"
"10/27/2025","814.00","815.00","815.00","814.00","0.00K","0.12%"
"10/24/2025","813.00","815.00","815.00","815.00","0.00K","0.00%"
"10/23/2025","813.00","813.00","813.00","813.00","","0.00%"
"10/22/2025","813.00","813.00","813.00","813.00","0.01K","0.00%"
"10/21/2025","813.00","813.00","813.00","811.00","0.09K","0.12%"
"10/20/2025","812.00","812.00","813.00","812.00","0.04K","-0.25%"
"10/17/2025","814.00","814.00","814.00","814.00","","-0.12%"
"10/16/2025","815.00","814.00","816.00","814.00","0.02K","0.25%"
"10/15/2025","813.00","813.00","813.00","813.00","","0.00%"
"10/14/2025","813.00","813.00","813.00","813.00","0.00K","-0.12%"
"10/13/2025","814.00","813.00","813.00","813.00","","0.00%"
"10/10/2025","814.00","815.00","815.00","814.00","0.12K","0.12%"
"10/09/2025","813.00","815.00","815.00","815.00","0.01K","0.00%"
"10/08/2025","813.00","810.00","815.00","810.00","0.03K","0.99%"
"10/07/2025","805.00","803.00","810.00","803.00","0.03K","0.50%"
"10/06/2025","801.00","805.00","807.00","799.00","0.03K","-0.37%"
"10/03/2025","804.00","805.00","805.00","804.00","0.02K","-0.12%"
"10/02/2025","805.00","805.00","805.00","805.00","0.01K","-0.12%"
"10/01/2025","806.00","795.00","811.00","795.00","0.05K","0.75%"
"09/30/2025","800.00","800.00","808.00","798.00","0.26K","-0.25%"
"09/29/2025","802.00","808.00","810.00","800.00","0.47K","-0.37%"
"09/26/2025","805.00","810.00","811.00","800.00","0.30K","-1.59%"
"09/25/2025","818.00","818.00","820.00","815.00","0.26K","-0.61%"
"09/24/2025","823.00","832.00","832.00","818.00","0.19K","1.73%"
"09/23/2025","809.00","812.00","812.00","812.00","0.03K","-0.25%"
"09/22/2025","811.00","811.00","811.00","811.00","0.01K","-0.12%"
"09/19/2025","812.00","812.00","812.00","812.00","","-0.12%"
"09/18/2025","813.00","813.00","813.00","813.00","","0.00%"
"09/17/2025","813.00","811.00","820.00","811.00","0.04K","0.37%"
"09/16/2025","810.00","810.00","811.00","810.00","0.02K","0.25%"
"09/15/2025","808.00","808.00","808.00","808.00","0.01K","0.00%"
"09/12/2025","808.00","808.00","808.00","808.00","0.00K","-0.25%"
"09/11/2025","810.00","810.00","810.00","810.00","0.01K","0.62%"
